subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
philosophy,"In Book II of the Republic, Glaucon claims that justice originates from:",a social agreement.,nature.,the gods.,the powerful.,0,A,expert,,Glaucon says justice stems from human weakness and vulnerability. We need justice becuase if we didn't have justice we would all suffer from each other's injustices.,,"In Book II of the Republic, Glaucon claims that justice originates from:","A)
Within Volume II of the Commonwealth, Glaucon asserts that righteousness arises from:

B)
Inside Part II of the Republic, Glaucon argues that equity stems from:

C)
Throughout Section II of the Commonwealth, Glaucon maintains that morality derives from:

D)
Under Chapter II of the Republic, Glaucon contends that fairness proceeds from:","Within Volume II of the Commonwealth, Glaucon asserts that righteousness arises from:","Inside Part II of the Republic, Glaucon argues that equity stems from:","Throughout Section II of the Commonwealth, Glaucon maintains that morality derives from:","Under Chapter II of the Republic, Glaucon contends that fairness proceeds from:",A,A,C,D
high_school_government_and_politics,The idea that the Bill of Rights applies to both federal and state governments by means of the Fourteenth Amendment is called,mandamus,habeas corpus,strict constructionism,the doctrine of incorporation,3,D,ok,,,https://www.crackap.com/ap/us-government-and-politics/question-216-answer-and-explanation.html,The idea that the Bill of Rights applies to both federal and state governments by means of the Fourteenth Amendment is called,"A)
The notion that the Bill of Rights pertains to both national and local authorities through the Fourteenth Amendment is termed

B)
The concept that the Bill of Rights relates to both central and regional administrations via the Fourteenth Amendment is labeled

C)
The theory that the Bill of Rights concerns both federal and state jurisdictions by way of the Fourteenth Amendment is designated

D)
The belief that the Bill of Rights applies to both federal and state leaderships by virtue of the Fourteenth Amendment is known as",The notion that the Bill of Rights pertains to both national and local authorities through the Fourteenth Amendment is termed,The concept that the Bill of Rights relates to both central and regional administrations via the Fourteenth Amendment is labeled,The theory that the Bill of Rights concerns both federal and state jurisdictions by way of the Fourteenth Amendment is designated,The belief that the Bill of Rights applies to both federal and state leaderships by virtue of the Fourteenth Amendment is known as,A,A,C,D
business_ethics,"The focus on issues, the intended audience extending beyond shareholders and the voluntary nature of ___________ distinguish it from _________.","Financial accounting, Environmental management initiatives","Financial accounting, Social accounting.","Social accounting, Financial accounting.","Annual report publication, Social accounting",2,C,ok,,,https://learninglink.oup.com/access/content/cranebe5e-student-resources/cranebe5e-chapter-5-multiple-choice-questions?previousFilter=tag_chapter-05,"The focus on issues, the intended audience extending beyond shareholders and the voluntary nature of ___________ distinguish it from _________.","A)
The emphasis on matters, the targeted public reaching past investors and the elective character of ___________ differentiate it from _________.

B)
The concentration on topics, the aimed viewership expanding outside stockholders and the non-compulsory essence of ___________ separate it from _________.

C)
The priority on subjects, the designated group stretching beyond equity holders and the discretionary quality of ___________ demarcate it from _________.

D)
The stress on concerns, the intended recipients surpassing shareowners and the optional aspect of ___________ discriminate it from _________.","The emphasis on matters, the targeted public reaching past investors and the elective character of ___________ differentiate it from _________.","The concentration on topics, the aimed viewership expanding outside stockholders and the non-compulsory essence of ___________ separate it from _________.","The priority on subjects, the designated group stretching beyond equity holders and the discretionary quality of ___________ demarcate it from _________.","The stress on concerns, the intended recipients surpassing shareowners and the optional aspect of ___________ discriminate it from _________.",A,B,C,D
high_school_physics,"Mercury orbits the sun in about one-fifth of an Earth year. If 1 AU is defined as the distance from the Earth to the sun, what is the approximate distance between Mercury and the sun?",(1/25) AU,(1/9) AU,(1/5) AU,(1/3) AU,3,D,ok,,,https://www.crackap.com/ap/physics-c-mechanics/question-105-answer-and-explanation.html,"Mercury orbits the sun in about one-fifth of an Earth year. If 1 AU is defined as the distance from the Earth to the sun, what is the approximate distance between Mercury and the sun?","A)
Mercury circles the star in roughly one-fifth of a terrestrial year. If 1 AU is stated as the span from the Earth to the star, what is the estimated span between Mercury and the star?

B)
Mercury revolves around the sun in nearly one-fifth of a planetary year. If 1 AU is established as the gap from the Earth to the sun, what is the rough gap between Mercury and the sun?

C)
Mercury bypasses the sun in approximately one-fifth of a world year. If 1 AU is specified as the space from the Earth to the sun, what is the near space between Mercury and the sun?

D)
Mercury travels around the sun in around one-fifth of a globe year. If 1 AU is identified as the length from the Earth to the sun, what is the relative length between Mercury and the sun?","Mercury circles the star in roughly one-fifth of a terrestrial year. If 1 AU is stated as the span from the Earth to the star, what is the estimated span between Mercury and the star?","Mercury revolves around the sun in nearly one-fifth of a planetary year. If 1 AU is established as the gap from the Earth to the sun, what is the rough gap between Mercury and the sun?","Mercury bypasses the sun in approximately one-fifth of a world year. If 1 AU is specified as the space from the Earth to the sun, what is the near space between Mercury and the sun?","Mercury travels around the sun in around one-fifth of a globe year. If 1 AU is identified as the length from the Earth to the sun, what is the relative length between Mercury and the sun?",A,B,C,D
high_school_geography,The European Union (EU) replaced which of the following organizations?,NATO,EEC,UN,ASEAN,1,B,ok,,,www.crackap.com - AP Human Geography Question 134,The European Union (EU) replaced which of the following organizations?,"A)
The European Union (EU) succeeded which of the following associations?

B)
The European Union (EU) superseded which of the following entities?

C)
The European Union (EU) substituted which of the following institutions?

D)
The European Union (EU) supplanted which of the following bodies?",The European Union (EU) succeeded which of the following associations?,The European Union (EU) superseded which of the following entities?,The European Union (EU) substituted which of the following institutions?,The European Union (EU) supplanted which of the following bodies?,A,A,A,A
high_school_microeconomics,Marginal cost always intersects average variable cost at,the profit-maximizing quantity,the minimum of marginal cost,the maximum of average variable cost,the minimum of average variable cost,3,D,ok,,,https://www.crackap.com/ap/microeconomics/question-20-answer-and-explanation.html,Marginal cost always intersects average variable cost at,"A)
Incremental expense constantly crosses mean shifting expense at

B)
Additional outlay perpetually meets median fluctuating outlay at

C)
Extra charge consistently joins ordinary changing charge at

D)
Supplementary price forever bisects standard volatile price at",Incremental expense constantly crosses mean shifting expense at,Additional outlay perpetually meets median fluctuating outlay at,Extra charge consistently joins ordinary changing charge at,Supplementary price forever bisects standard volatile price at,E,B,C,D
logical_fallacies,Which of the following describes the fallacy of appeal to tradition?,reasoning that a claim must be true because it's been made so often,reasoning that a claim must be true because a regular person believes it,reasoning that a claim must be true because it's been believed in the past,reasoning that a claim must be true because a lot of people believe it,2,C,ok,,,,Which of the following describes the fallacy of appeal to tradition?,"A)
Which of the following portrays the error of resort to custom?

B)
Which of the following defines the mistake of invocation of heritage?

C)
Which of the following explains the misconception of reference to antiquity?

D)
Which of the following outlines the fault of reliance on convention?",Which of the following portrays the error of resort to custom?,Which of the following defines the mistake of invocation of heritage?,Which of the following explains the misconception of reference to antiquity?,Which of the following outlines the fault of reliance on convention?,A,B,C,D
medical_genetics,Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,2,C,ok,,,https://medizzy.com/learning/mcq/set/33896914,Asp235Phe in a molecular report indicates that:,"A)
Asp235Phe within a genetic document signifies that:

B)
Asp235Phe inside a clinical summary demonstrates that:

C)
Asp235Phe throughout a laboratory finding suggests that:

D)
Asp235Phe across a diagnostic account implies that:",Asp235Phe within a genetic document signifies that:,Asp235Phe inside a clinical summary demonstrates that:,Asp235Phe throughout a laboratory finding suggests that:,Asp235Phe across a diagnostic account implies that:,A,A,A,A
electrical_engineering,Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,3,D,ok,,,,Colpitts oscillator is also called as,"A)
Colpitts oscillator is likewise referred to as

B)
Colpitts oscillator is additionally known as

C)
Colpitts oscillator is furthermore labeled as

D)
Colpitts oscillator is similarly designated as",Colpitts oscillator is likewise referred to as,Colpitts oscillator is additionally known as,Colpitts oscillator is furthermore labeled as,Colpitts oscillator is similarly designated as,A,A,A,A
clinical_knowledge,The creatine kinase reaction is:,irreversible.,slow compared with glycolysis.,not activated until all the ATP has been used up.,inhibited by low pH in the muscle.,3,D,ok,,same question source as college_medicine,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch03/?view=Standard,The creatine kinase reaction is:,"A)
The creatine phosphokinase process is:

B)
The phosphocreatine kinase response is:

C)
The creatine kinase transformation is:

D)
The creatine kinase interaction is:",The creatine phosphokinase process is:,The phosphocreatine kinase response is:,The creatine kinase transformation is:,The creatine kinase interaction is:,A,B,C,D
machine_learning,Another term for out-of-distribution detection is?,anomaly detection,one-class detection,train-test mismatch robustness,background detection,0,A,ok,,,Expert,Another term for out-of-distribution detection is?,"A)
A different name for out-of-distribution discovery is?

B)
An alternative label for out-of-distribution identification is?

C)
One more phrase for out-of-distribution recognition is?

D)
A further expression for out-of-distribution sensing is?",A different name for out-of-distribution discovery is?,An alternative label for out-of-distribution identification is?,One more phrase for out-of-distribution recognition is?,A further expression for out-of-distribution sensing is?,E,B,C,D
astronomy,Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,human activities that are increasing the concentration of greenhouse gases in Earth's atmosphere,the fact that our politicians spout a lot of hot air,the human release of chemicals called CFCs into the stratosphere,the increase in forest fires during recent years,0,A,ok,0,,Expert,Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,"A)
The world has been slowly heating up during the previous several decades. Relying on a massive amount of proof researchers determine that this temperature increase is triggered by ________.

B)
The planet has been steadily getting hotter throughout the last several years. According to a vast body of data experts infer that this rise in temperature is produced by ________.

C)
Our globe has been progressively warming up over the recent few decades. Derived from a large quantity of testimony investigators deduce that this heat rise is generated by ________.

D)
This world has been incrementally heating over the prior several decades. Utilizing a significant volume of documentation scholars settle that this thermal surge is initiated by ________.",The world has been slowly heating up during the previous several decades. Relying on a massive amount of proof researchers determine that this temperature increase is triggered by ________.,The planet has been steadily getting hotter throughout the last several years. According to a vast body of data experts infer that this rise in temperature is produced by ________.,Our globe has been progressively warming up over the recent few decades. Derived from a large quantity of testimony investigators deduce that this heat rise is generated by ________.,This world has been incrementally heating over the prior several decades. Utilizing a significant volume of documentation scholars settle that this thermal surge is initiated by ________.,A,A,C,D
professional_psychology,"For all sensory systems except olfaction, the afferent sensory pathways include the",cerebellum,thalamus,caudate nucleus,inferior colliculus,1,B,ok,,,https://www.cram.com/flashcards/eppp-exam-study-questions-1299476,"For all sensory systems except olfaction, the afferent sensory pathways include the","A)
Regarding every perceptual mechanism excluding smell, the incoming neural circuits comprise the

B)
In every receptive apparatus barring scent, the inward nerve tracks contain the

C)
For each feeling framework omitting olfaction, the centripetal signaling routes involve the

D)
Across all stimulus networks besides sniffing, the ascending sensory channels encompass the","Regarding every perceptual mechanism excluding smell, the incoming neural circuits comprise the","In every receptive apparatus barring scent, the inward nerve tracks contain the","For each feeling framework omitting olfaction, the centripetal signaling routes involve the","Across all stimulus networks besides sniffing, the ascending sensory channels encompass the",A,B,C,D
high_school_chemistry,"In determining the order for reactant A in a certain reaction, the concentrations of all other reactants are held constant while the concentration of A is tripled from one experiment to another. The reaction rate is found to triple. The appropriate exponent for A in the rate law is",1,2,3,4,0,A,ok,,,www.crackap.com - AP Chemistry Question 228,"In determining the order for reactant A in a certain reaction, the concentrations of all other reactants are held constant while the concentration of A is tripled from one experiment to another. The reaction rate is found to triple. The appropriate exponent for A in the rate law is","A)
In establishing the rank for reagent A in a specific process, the levels of all different substances are kept fixed while the level of A is increased threefold from one trial to another. The process speed is observed to triple. The correct power for A in the speed equation is

B)
In calculating the degree for reactant A in a particular transformation, the amounts of all other components are maintained stable while the amount of A is multiplied by three from one test to another. The transformation velocity is discovered to triple. The suitable index for A in the velocity expression is

C)
In identifying the value for substrate A in a given interaction, the proportions of all remaining chemicals are stayed unchanged while the proportion of A is three times larger from one run to another. The interaction pace is noticed to triple. The fitting coefficient for A in the pace formula is

D)
In assessing the status for ingredient A in a definite change, the densities of all further elements are remained steady while the density of A is scaled by three from one study to another. The change rate is perceived to triple. The relevant superscript for A in the rate rule is","In establishing the rank for reagent A in a specific process, the levels of all different substances are kept fixed while the level of A is increased threefold from one trial to another. The process speed is observed to triple. The correct power for A in the speed equation is","In calculating the degree for reactant A in a particular transformation, the amounts of all other components are maintained stable while the amount of A is multiplied by three from one test to another. The transformation velocity is discovered to triple. The suitable index for A in the velocity expression is","In identifying the value for substrate A in a given interaction, the proportions of all remaining chemicals are stayed unchanged while the proportion of A is three times larger from one run to another. The interaction pace is noticed to triple. The fitting coefficient for A in the pace formula is","In assessing the status for ingredient A in a definite change, the densities of all further elements are remained steady while the density of A is scaled by three from one study to another. The change rate is perceived to triple. The relevant superscript for A in the rate rule is",A,B,C,D
college_mathematics,"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is",closed,open,connected,totally disconnected,2,C,ok,,,Expert,"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is","A)
Let S be the subcollection of R^2 comprising every point (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are non-rational. With regard to the usual topology on R^2, S is

B)
Let S be the subassembly of R^2 containing all coordinates (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are surds. In relation to the common topology on R^2, S is

C)
Let S be the portion of R^2 including each point (x, y) in the unit square [0, 1] × [0, 1] where x or y, or both, are irrational. In reference to the normal topology on R^2, S is

D)
Let S be the subgroup of R^2 encompassing every point (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are not rational. Concerning the regular topology on R^2, S is","Let S be the subcollection of R^2 comprising every point (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are non-rational. With regard to the usual topology on R^2, S is","Let S be the subassembly of R^2 containing all coordinates (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are surds. In relation to the common topology on R^2, S is","Let S be the portion of R^2 including each point (x, y) in the unit square [0, 1] × [0, 1] where x or y, or both, are irrational. In reference to the normal topology on R^2, S is","Let S be the subgroup of R^2 encompassing every point (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are not rational. Concerning the regular topology on R^2, S is",A,B,C,D
elementary_mathematics,Write 60 over 72 in simplest form.,4 over 6,10 over 12,15 over 17,5 over 6,3,D,ok,3,,,Write 60 over 72 in simplest form.,"A)
Express 60 divided by 72 in reduced form.

B)
State 60 over 72 in lowest terms.

C)
Record 60 upon 72 in basic form.

D)
Put 60 above 72 in minimal terms.",Express 60 divided by 72 in reduced form.,State 60 over 72 in lowest terms.,Record 60 upon 72 in basic form.,Put 60 above 72 in minimal terms.,B,B,C,D
college_medicine,"There are five stages of mitosis that must be carried out correctly for a cell to properly divide. Match the stage of mitosis with its proper component:
Prophase — Dissolution of nucleoli",Metaphase — Formation of two distinct nuclear membranes,Cytokinesis — Separation of sister chromatids to their respective poles,Telophase — Formation of the equatorial plate,Anaphase — Separation of the cytoplasm and organelles,0,A,bad_question_clarity,,"Incorrect parsing, the first option (the correct answer) becomes a part of the question",https://quizlet.com/779162010/mcat-practice-questions-flash-cards/,"There are five stages of mitosis that must be carried out correctly for a cell to properly divide. Match the stage of mitosis with its proper component:
Prophase — Dissolution of nucleoli","A)
There are five phases of mitosis that must be executed accurately for a cell to appropriately split. Pair the phase of mitosis with its correct element:
Prophase — Disintegration of nucleoli

B)
There are five steps of mitosis that must be performed precisely for a cell to successfully partition. Link the step of mitosis with its suitable feature:
Prophase — Breakdown of nucleoli

C)
There are five periods of mitosis that must be fulfilled rightly for a cell to adequately separate. Connect the period of mitosis with its appropriate factor:
Prophase — Decomposition of nucleoli

D)
There are five intervals of mitosis that must be finished correctly for a cell to effectively bifurcate. Associate the interval of mitosis with its fitting part:
Prophase — Dissolving of nucleoli","There are five phases of mitosis that must be executed accurately for a cell to appropriately split. Pair the phase of mitosis with its correct element:
Prophase — Disintegration of nucleoli","There are five steps of mitosis that must be performed precisely for a cell to successfully partition. Link the step of mitosis with its suitable feature:
Prophase — Breakdown of nucleoli","There are five periods of mitosis that must be fulfilled rightly for a cell to adequately separate. Connect the period of mitosis with its appropriate factor:
Prophase — Decomposition of nucleoli","There are five intervals of mitosis that must be finished correctly for a cell to effectively bifurcate. Associate the interval of mitosis with its fitting part:
Prophase — Dissolving of nucleoli",A,A,C,D
machine_learning,"Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer.","True, True","False, False","True, False","False, True",0,A,ok,,,Expert,"Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer.","A)
Statement 1| By 2020, certain architectures achieve over 98% precision on CIFAR-10. Statement 2| The initial ResNets were not tuned using the Adam optimizer.

B)
Statement 1| Starting 2020, various frameworks reach above 98% reliability on CIFAR-10. Statement 2| The primary ResNets were not adjusted with the Adam optimizer.

C)
Statement 1| Since 2020, several versions obtain more than 98% correctness on CIFAR-10. Statement 2| The earliest ResNets were not refined via the Adam optimizer.

D)
Statement 1| In 2020, specific designs realize beyond 98% fidelity on CIFAR-10. Statement 2| The first ResNets were not configured through the Adam optimizer.","Statement 1| By 2020, certain architectures achieve over 98% precision on CIFAR-10. Statement 2| The initial ResNets were not tuned using the Adam optimizer.","Statement 1| Starting 2020, various frameworks reach above 98% reliability on CIFAR-10. Statement 2| The primary ResNets were not adjusted with the Adam optimizer.","Statement 1| Since 2020, several versions obtain more than 98% correctness on CIFAR-10. Statement 2| The earliest ResNets were not refined via the Adam optimizer.","Statement 1| In 2020, specific designs realize beyond 98% fidelity on CIFAR-10. Statement 2| The first ResNets were not configured through the Adam optimizer.",A,A,C,D
clinical_knowledge,The most rapid method to resynthesize ATP during exercise is through:,glycolysis.,phosphocreatine breakdown.,tricarboxylic acid cycle (Krebs' cycle).,glycogenolysis.,1,B,ok,,same question source as college_medicine,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch03/?view=Standard,The most rapid method to resynthesize ATP during exercise is through:,"A)
The quickest technique to regenerate ATP throughout physical activity is via:

B)
The fastest approach to reformulate ATP during exertion is by:

C)
The speediest process to reconstruct ATP while working out is utilizing:

D)
The swiftest way to replenish ATP amidst training is through:",The quickest technique to regenerate ATP throughout physical activity is via:,The fastest approach to reformulate ATP during exertion is by:,The speediest process to reconstruct ATP while working out is utilizing:,The swiftest way to replenish ATP amidst training is through:,A,A,A,D
