мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
" Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толы екенін көріп таң қалды. Олар басым көпшілік болды.",Демеушілер басым көпшілік болды.,0,10,міндеттеме емес,"мәтін1:  Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толы екенін көріп таң қалды. Олар басым көпшілік болды.
мәтін2: Демеушілер басым көпшілік болды.
жапсырма: 0","A) Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толы екенін көріп таңырқады. Олар басым көпшілік болды.

B) Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толық екенін көріп таң қалды. Олар басым қарсылық болды.

C) Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға жабық екенін көріп таңданды. Олар үстем көпшілік болды.

D) Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға қамтылған екенін көріп таңтланды. Олар жоғары көпшілік болды.","Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толы екенін көріп таңырқады. Олар басым көпшілік болды.","Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толық екенін көріп таң қалды. Олар басым қарсылық болды.","Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға жабық екенін көріп таңданды. Олар үстем көпшілік болды.","Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға қамтылған екенін көріп таңтланды. Олар жоғары көпшілік болды."
" Фред пен Элистің жүннен жасалған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіз болды.",Аляскадағы суыққа пальтолар жеткіліксіз болды.,1,58,тарту,"мәтін1:  Фред пен Элистің жүннен жасалған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіз болды.
мәтін2: Аляскадағы суыққа пальтолар жеткіліксіз болды.
жапсырма: 1","A) Фред пен Элистің жүннен жасалған курткалары өте жылы болды, бірақ олар Аляскадағы суыққа жеткілікті емес болды.

B) Фред пен Элистің жүннен дайындалған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіз болып шықты.

C) Фред пен Элистің жүннен құралған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жетпеді.

D) Фред пен Элистің жүннен тұратын пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіздік танытты.","Фред пен Элистің жүннен жасалған курткалары өте жылы болды, бірақ олар Аляскадағы суыққа жеткілікті емес болды.","Фред пен Элистің жүннен дайындалған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіз болып шықты.","Фред пен Элистің жүннен құралған пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жетпеді.","Фред пен Элистің жүннен тұратын пальтолары өте жылы болды, бірақ олар Аляскадағы суыққа жеткіліксіздік танытты."
" Эмма ашық тұрса да, допты Джейниге пас бермеді.",Ол Эмманың ашық тұрғанын көрді.,0,41,міндеттеме емес,"мәтін1:  Эмма ашық тұрса да, допты Джейниге пас бермеді.
мәтін2: Ол Эмманың ашық тұрғанын көрді.
жапсырма: 0","A)
Эмма жарық тұрса да, допты Джейниге пас бермеді.

B)
Эмма ашық тұрғанымен, допты Джейниге пас бермеді.

C)
Эмма ашық болса да, допты Джейниге бермеді.

D)
Эмма ашық түрдегі болса да, допты Джейниге пас бермеді.","Эмма жарық тұрса да, допты Джейниге пас бермеді.","Эмма ашық тұрғанымен, допты Джейниге пас бермеді.","Эмма ашық болса да, допты Джейниге бермеді.","Эмма ашық түрдегі болса да, допты Джейниге пас бермеді."
" Татьяна жоғарғы төсегінде аударылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, түзу және қатып қалған! Көздері жұмулы еді, бірақ Татьяна ұйықтап қалды ма деп күмәнданды."," Анасы төмендегі кереуетте қандай кішкентай, тік және қатал жатыр!",1,51,тарту,"мәтін1:  Татьяна жоғарғы төсегінде аударылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, түзу және қатып қалған! Көздері жұмулы еді, бірақ Татьяна ұйықтап қалды ма деп күмәнданды.
мәтін2:  Анасы төмендегі кереуетте қандай кішкентай, тік және қатал жатыр!
жапсырма: 1","A) Татьяна жоғарғы төсегінде аунап жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, тікелей және қатып қалған! Көздері жұмулы еді, бірақ Татьяна ұйықтап жатқан ба деп күмәнданды.  
B) Татьяна жоғарғы төсегінде аударылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішігірім, тік және қатал жатыр! Көздері жұмылып тұрды, бірақ Татьяна ұйықтап кеткен бе деп күмәнданды.  
C) Татьяна жоғарғы төсегінде аунақтап жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, түзу және қатал жатқан! Көздері жұмық еді, бірақ Татьяна ұйықтап қалған шығар деп күмәнданды.  
D) Татьяна жоғарғы төсегінде бұрылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, тік және қатты жатыр! Көздері жабық еді, бірақ Татьяна ұйықтап қалғаны туралы күмәнданды.  ","Татьяна жоғарғы төсегінде аунап жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, тікелей және қатып қалған! Көздері жұмулы еді, бірақ Татьяна ұйықтап жатқан ба деп күмәнданды.","Татьяна жоғарғы төсегінде аударылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішігірім, тік және қатал жатыр! Көздері жұмылып тұрды, бірақ Татьяна ұйықтап кеткен бе деп күмәнданды.","Татьяна жоғарғы төсегінде аунақтап жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, түзу және қатал жатқан! Көздері жұмық еді, бірақ Татьяна ұйықтап қалған шығар деп күмәнданды.","Татьяна жоғарғы төсегінде бұрылып жатып, оның шетінен қарап, анасын анық көре алды. Ол төмендегі кереуетте қандай кішкентай, тік және қатты жатыр! Көздері жабық еді, бірақ Татьяна ұйықтап қалғаны туралы күмәнданды."
"Томми балмұздағын тастағанда, Тимми күліп жіберді, сондықтан әкесі оған қатал қарады.",Әкесі Тиммиге қатал көзқараспен қарады.,1,6,тарту,"мәтін1: Томми балмұздағын тастағанда, Тимми күліп жіберді, сондықтан әкесі оған қатал қарады.
мәтін2: Әкесі Тиммиге қатал көзқараспен қарады.
жапсырма: 1","A) Томми балмұздақты тастағанда, Тимми күліп кетті, сондықтан әкесі оған қатты қарады.  
B) Томми балмұздықты тастағанда, Тимми күліп қалды, сондықтан әкесі оған қатал қарады.  
C) Томми балмұздақты тастап кеткенде, Тимми күліп жіберді, сондықтан әкесі оған қатты қарады.  
D) Томми балмұздақты тастағанда, Тимми күліп кетті, сол себепті әкесі оған қатал қарады.  ","Томми балмұздақты тастағанда, Тимми күліп кетті, сондықтан әкесі оған қатты қарады.","Томми балмұздықты тастағанда, Тимми күліп қалды, сондықтан әкесі оған қатал қарады.","Томми балмұздақты тастап кеткенде, Тимми күліп жіберді, сондықтан әкесі оған қатты қарады.","Томми балмұздақты тастағанда, Тимми күліп кетті, сол себепті әкесі оған қатал қарады."
" Жаздың түстен кейінгі мезгілі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір жерге барды, себебі ыстық еді.",Ағаштың астындағы жер ыстық еді.,0,69,міндеттеме емес,"мәтін1:  Жаздың түстен кейінгі мезгілі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір жерге барды, себебі ыстық еді.
мәтін2: Ағаштың астындағы жер ыстық еді.
жапсырма: 0","A) Жаздың түстен кейінгі кезеңі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір орынға барды, себебі ыстық еді.  
B) Жаздың түстен кейінгі уақыты еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір аймаққа барды, себебі ыстық еді.  
C) Жаздың түстен кейінгі кезеңі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір жерге барды, себебі қызу еді.  
D) Жаздың түстен кейінгі мезгілі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір орынға барды, себебі ыстық болатын.  ","Жаздың түстен кейінгі кезеңі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір орынға барды, себебі ыстық еді.","Жаздың түстен кейінгі уақыты еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір аймаққа барды, себебі ыстық еді.","Жаздың түстен кейінгі кезеңі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір жерге барды, себебі қызу еді.","Жаздың түстен кейінгі мезгілі еді, ит көгалдың ортасында отырды. Біраз уақыттан кейін ол тұрып, ағаштың астындағы бір орынға барды, себебі ыстық болатын."
" Мысық тышқан інінің жанында тышқанды күтіп жатты, бірақ ол тым сақ болды.",Тышқан тым сақ болды.,1,46,тарту,"мәтін1:  Мысық тышқан інінің жанында тышқанды күтіп жатты, бірақ ол тым сақ болды.
мәтін2: Тышқан тым сақ болды.
жапсырма: 1","A) 
Мысық тышқан інінің қасында тышқанды күтіп отырды, бірақ ол тым абай болды.

B) 
Мысық тышқан інінің жанына тышқанды күтуде тұрды, бірақ ол тым сақтықты болды.

C) 
Мысық тышқан інінің маңында тышқанды күтіп болды, бірақ ол тым ұқыпты болды.

D) 
Мысық тышқан інінің жанында тышқанды күтуде қалып отырды, бірақ ол тым сезімтал болды.","Мысық тышқан інінің қасында тышқанды күтіп отырды, бірақ ол тым абай болды.","Мысық тышқан інінің жанына тышқанды күтуде тұрды, бірақ ол тым сақтықты болды.","Мысық тышқан інінің маңында тышқанды күтіп болды, бірақ ол тым ұқыпты болды.","Мысық тышқан інінің жанында тышқанды күтуде қалып отырды, бірақ ол тым сезімтал болды."
Мадонна жігітімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды.,Мадонна жігітімен ұйықтады.,0,14,міндеттеме емес,"мәтін1: Мадонна жігітімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды.
мәтін2: Мадонна жігітімен ұйықтады.
жапсырма: 0","A) Мадонна ерімен ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.  
B) Мадонна серігімен ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.  
C) Мадонна жігітімен ұйықтағаны үшін жаттықтырушыны қызметтен шығарды.  
D) Мадонна жігітімен ұйықтағаны үшін жаттықтырушысы жұмыстан кетті.",Мадонна ерімен ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.,Мадонна серігімен ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.,Мадонна жігітімен ұйықтағаны үшін жаттықтырушыны қызметтен шығарды.,Мадонна жігітімен ұйықтағаны үшін жаттықтырушысы жұмыстан кетті.
" Сьюзан Энннің ұлының көлік апатына ұшырағанын білгендіктен, оған бұл туралы айтты.",Энн оған бұл туралы айтып берді.,0,5,міндеттеме емес,"мәтін1:  Сьюзан Энннің ұлының көлік апатына ұшырағанын білгендіктен, оған бұл туралы айтты.
мәтін2: Энн оған бұл туралы айтып берді.
жапсырма: 0","A) Сьюзан Энннің баласының көлік апатына тап болғанын білгендіктен, оған бұл жайында айтты.  
B) Сьюзан Энннің ұлының автокөлік апатына ұшырағанын естігендіктен, оған бұл туралы жеткізді.  
C) Сьюзан Энннің перзентінің машина апатына кезіккенін білгендіктен, оған бұл жайында хабарлады.  
D) Сьюзан Энннің ұлынан көлік апатына жалғанғанын білгендіктен, оған бұл туралы хабарлады.  ","Сьюзан Энннің баласының көлік апатына тап болғанын білгендіктен, оған бұл жайында айтты.","Сьюзан Энннің ұлының автокөлік апатына ұшырағанын естігендіктен, оған бұл туралы жеткізді.","Сьюзан Энннің перзентінің машина апатына кезіккенін білгендіктен, оған бұл жайында хабарлады.","Сьюзан Энннің ұлынан көлік апатына жалғанғанын білгендіктен, оған бұл туралы хабарлады."
" Мысық тышқан інінің жанында тышқанды күтіп жатты, бірақ ол тым сақ болды.",Мысық тым сақ болды.,0,50,міндеттеме емес,"мәтін1:  Мысық тышқан інінің жанында тышқанды күтіп жатты, бірақ ол тым сақ болды.
мәтін2: Мысық тым сақ болды.
жапсырма: 0","A) Мысық тышқан інінің жанында тышқанды күтуде отырды, бірақ ол тым абай болды.  
B) Мысық тышқан інінің жанында тышқанды күтіп тұрды, бірақ ол тым мұқият болды.  
C) Мысық тышқан інінің жанында тышқанды күтумен айналысты, бірақ ол тым сақ бола отырып.  
D) Мысық тышқан інінің жанында тышқанды күтуде болды, бірақ ол тым қатал болды.  ","Мысық тышқан інінің жанында тышқанды күтуде отырды, бірақ ол тым абай болды.","Мысық тышқан інінің жанында тышқанды күтіп тұрды, бірақ ол тым мұқият болды.","Мысық тышқан інінің жанында тышқанды күтумен айналысты, бірақ ол тым сақ бола отырып.","Мысық тышқан інінің жанында тышқанды күтуде болды, бірақ ол тым қатал болды."
" Үлкен оқушылар кішілерін қорқытып жатты, сондықтан біз оларды құтқардық.",Біз үлкен оқушыларды құтқардық.,0,34,міндеттеме емес,"мәтін1:  Үлкен оқушылар кішілерін қорқытып жатты, сондықтан біз оларды құтқардық.
мәтін2: Біз үлкен оқушыларды құтқардық.
жапсырма: 0","A)  
Үлкен шәкірттер кішілерін қорқытып жатты, сондықтан біз оларды қорғадық.  

B)  
Үлкен оқушылар кішілерін үркітіп жатты, сондықтан біз оларды сақтап қалдық.  

C)  
Үлкен балалар кішілерін қорқытып жатты, сондықтан біз оларды қорғап алдық.  

D)  
Үлкен оқушылар кішкентайларын қорқытып жатты, сондықтан біз оларды құтқарып қалдық.  ","Үлкен шәкірттер кішілерін қорқытып жатты, сондықтан біз оларды қорғадық.","Үлкен оқушылар кішілерін үркітіп жатты, сондықтан біз оларды сақтап қалдық.","Үлкен балалар кішілерін қорқытып жатты, сондықтан біз оларды қорғап алдық.","Үлкен оқушылар кішкентайларын қорқытып жатты, сондықтан біз оларды құтқарып қалдық."
Мадонна жігітімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды.,Ол жаттықтырушының жігітімен ұйықтады.,0,60,міндеттеме емес,"мәтін1: Мадонна жігітімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды.
мәтін2: Ол жаттықтырушының жігітімен ұйықтады.
жапсырма: 0","A)
Мадонна серіктесімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды.

B)
Мадонна жігітімен ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.

C)
Мадонна жігітімен жатынға барғаны үшін жаттықтырушысын жұмыстан шығарды.

D)
Мадонна жігітімен бірге ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.",Мадонна серіктесімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды.,Мадонна жігітімен ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.,Мадонна жігітімен жатынға барғаны үшін жаттықтырушысын жұмыстан шығарды.,Мадонна жігітімен бірге ұйықтағаны үшін жаттықтырушыны жұмыстан шығарды.
" Әкесі балалардың бет-әлпетіне қарады, ол қазір таң қалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға тура келгені өкінішті еді.",Ол заттарды сатып ала алмады.,1,54,тарту,"мәтін1:  Әкесі балалардың бет-әлпетіне қарады, ол қазір таң қалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға тура келгені өкінішті еді.
мәтін2: Ол заттарды сатып ала алмады.
жапсырма: 1","A) Әкесі балалардың жүздеріне қарады, ол қазір таңдана, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға солайша нәрседен бас тартуға тура келгені өкінішті еді. Ол заттарды ала алмады. жапсырма: 1

B) Әкесі балалардың келбетіне қарады, ол қазір таңырқап, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға мәжбүр болғаны өкінішті еді. Ол заттарды сатып ала алмады. жапсырма: 1

C) Әкесі балалардың жүздеріне қарады, ол қазір таңырқап, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға осынша нәрседен бас тартуға тура келгені өкінішті еді. Ол заттарды сатып ала алмады. жапсырма: 1

D) Әкесі балалардың бет-әлпетіне қарады, ол қазір таңдана, азап шегіп тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншалықты нәрседен бас тартуға тура келгені өкінішті еді. Ол заттарды сатып ала алмады. жапсырма: 1","Әкесі балалардың жүздеріне қарады, ол қазір таңдана, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға солайша нәрседен бас тартуға тура келгені өкінішті еді. Ол заттарды ала алмады. жапсырма: 1","Әкесі балалардың келбетіне қарады, ол қазір таңырқап, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға мәжбүр болғаны өкінішті еді. Ол заттарды сатып ала алмады. жапсырма: 1","Әкесі балалардың жүздеріне қарады, ол қазір таңырқап, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға осынша нәрседен бас тартуға тура келгені өкінішті еді. Ол заттарды сатып ала алмады. жапсырма: 1","Әкесі балалардың бет-әлпетіне қарады, ол қазір таңдана, азап шегіп тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншалықты нәрседен бас тартуға тура келгені өкінішті еді. Ол заттарды сатып ала алмады. жапсырма: 1"
